_tag_key,STR Entry
Thu 29 - Jan | 12:12 | Long | 8|Thu 29 - Jan|12:12|12:28|NIFTY 03 FEB 25300 CALL|130,
Thu 29 - Jan | 12:51 | Long | 9|Thu 29 - Jan|12:51|13:08|NIFTY 03 FEB 25400 CALL|65,
Fri 30 - Jan | 11:49 | Long | 1|Fri 30 - Jan|11:49|11:51|NIFTY 03 FEB 25450 PUT|65,
Fri 30 - Jan | 13:36 | Long | 2|Fri 30 - Jan|13:36|14:01|NIFTY 03 FEB 25350 CALL|65,
Tue 03 - Feb | 10:50 | Long | 1|Tue 03 - Feb|10:50|10:54|NIFTY 10 FEB 25800 PUT|65,
Tue 03 - Feb | 11:10 | Long | 2|Tue 03 - Feb|11:10|11:13|NIFTY 10 FEB 25800 PUT|65,
Wed 04 - Feb | 12:48 | Long | 1|Wed 04 - Feb|12:48|13:09|NIFTY 10 FEB 25650 PUT|65,
Thu 05 - Feb | 10:24 | Long | 1|Thu 05 - Feb|10:24|10:27|NIFTY 10 FEB 25700 CALL|65,
Thu 05 - Feb | 10:57 | Long | 2|Thu 05 - Feb|10:57|11:06|NIFTY 10 FEB 25650 PUT|130,
Thu 05 - Feb | 14:59 | Long | 3|Thu 05 - Feb|14:59|15:06|NIFTY 10 FEB 25650 CALL|130,
Mon 09 - Feb | 11:51 | Long | 1|Mon 09 - Feb|11:51|12:15|NIFTY 17 FEB 25800 PUT|65,
Mon 09 - Feb | 12:45 | Long | 2|Mon 09 - Feb|12:45|12:48|NIFTY 17 FEB 25800 PUT|65,
Mon 09 - Feb | 13:08 | Short | 3|Mon 09 - Feb|13:08|13:32|NIFTY 17 FEB 25850 PUT|130,
Mon 09 - Feb | 15:17 | Long | 4|Mon 09 - Feb|15:17|15:17|NIFTY 10 FEB 25850 CALL|195,
Tue 10 - Feb | 09:48 | Long | 1|Tue 10 - Feb|09:48|09:48|NIFTY 10 FEB 25950 PUT|65,
Tue 10 - Feb | 10:00 | Long | 2|Tue 10 - Feb|10:00|10:03|NIFTY 10 FEB 25950 CALL|195,
Tue 10 - Feb | 10:03 | Long | 4|Tue 10 - Feb|10:03|10:21|NIFTY 17 FEB 25900 CALL|65,
Tue 10 - Feb | 10:21 | Short | 3|Tue 10 - Feb|10:21|10:21|NIFTY 17 FEB 25950 CALL|65,
Tue 10 - Feb | 11:25 | Long | 5|Tue 10 - Feb|11:25|11:54|NIFTY 17 FEB 25950 PUT|65,
Tue 10 - Feb | 11:55 | Long | 6|Tue 10 - Feb|11:55|11:55|NIFTY 10 FEB 25950 PUT|65,
Tue 10 - Feb | 12:24 | Long | 7|Tue 10 - Feb|12:24|12:45|NIFTY 17 FEB 25950 PUT|195,
Thu 12 - Feb | 11:54 | Long | 1|Thu 12 - Feb|11:54|12:18|NIFTY 17 FEB 25850 PUT|130,
Thu 12 - Feb | 12:56 | Long | 2|Thu 12 - Feb|12:56|12:56|NIFTY 17 FEB 25900 PUT|195,
Thu 12 - Feb | 13:09 | Long | 3|Thu 12 - Feb|13:09|13:09|NIFTY 17 FEB 25900 PUT|130,
Thu 12 - Feb | 14:24 | Long | 4|Thu 12 - Feb|14:24|14:28|NIFTY 17 FEB 25800 CALL|130,
Fri 13 - Feb | 09:53 | Long | 1|Fri 13 - Feb|09:53|09:55|NIFTY 17 FEB 25550 CALL|65,
Fri 13 - Feb | 10:36 | Long | 2|Fri 13 - Feb|10:36|10:47|NIFTY 17 FEB 25550 CALL|65,
Wed 18 - Feb | 09:30 | Long | 1|Wed 18 - Feb|09:30|09:45|NIFTY 24 FEB 25700 CALL|65,
Thu 19 - Feb | 10:15 | Long | 1|Thu 19 - Feb|10:15|10:31|NIFTY 24 FEB 25750 PUT|65,
